site,event,date,white_id,black_id,result,UTCdate,UTCtime,white_elo,black_elo,white_rating_diff,black_rating_diff,varient,time_control,eco,termination,moves,black_title,white_title
"Site ""https://lichess.org/VGSvChwm""","Event ""Rated Blitz game""",2020.09.06,"White ""Lovelishkumar""","Black ""NELSON07""",White won,2020.09.06,21:54:07,1615,1664,7,-7,Standard,180+2,"ECO ""C45""","Termination ""Normal""",1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nxd4 5. Qxd4 Nf6 6. Bg5 Be7 7. Nc3 O-O 8. Bd3 h6 9. h4 h5 10. e5 Ng4 11. Qe4 g6 12. f3 d5 13. Nxd5 Bf5 14. Nxe7+ Qxe7 15. Bxe7 Bxe4 16. Bxe4 Rfe8 17. Bc5 Rad8 18. O-O Nxe5 19. Bxa7 Nc6 20. Bf2 f5 21. Bxc6 bxc6 22. a4 Rd2 23. a5 Rxc2 24. a6 Ra8 25. Bd4 c5 26. Bc3 c4 27. Rfe1 c5 28. Re5 Kf7 29. Rxc5 Ke6 30. Rxc4 Kd6 31. a7 Kd5 32. Rc7 Kd6 33. Rb7 Kc6 34. Rb8 Rxg2+ 35. Kxg2 Kc7 36. Rxa8 Kb7 37. Rh8 Kb6 38. a8=Q Kb5 39. Rc8 1-0,,
"Site ""https://lichess.org/vvondtpO""","Event ""Rated Blitz game""",2020.09.06,"White ""SebastiaM""","Black ""Lovelishkumar""",White won,2020.09.06,21:49:28,1661,1620,5,-5,Standard,180+2,"ECO ""D40""","Termination ""Normal""",1. d4 d5 2. c4 e6 3. Nc3 c5 4. Nf3 Nf6 5. Bg5 Be7 6. e3 h6 7. Bh4 Nc6 8. Be2 a6 9. O-O dxc4 10. Bxc4 b5 11. Be2 Bb7 12. Re1 cxd4 13. Nxd4 Nxd4 14. Qxd4 Qc7 15. Bg3 Qc8 16. Rad1 O-O 17. Qf4 Nd5 18. Nxd5 Bxd5 19. a3 Rd8 20. Rc1 Qb7 21. Rc7 Bd6 22. Qxf7+ Kh8 23. Rxb7 Bxb7 1-0,,
"Site ""https://lichess.org/nUVfNFrV""","Event ""Rated Blitz game""",2020.09.06,"White ""Lovelishkumar""","Black ""Nookatkg""",Black won,2020.09.06,21:39:51,1626,1608,-6,6,Standard,180+2,"ECO ""B00""","Termination ""Normal""",1. e4 b6 2. Nf3 Bb7 3. Nc3 e6 4. d4 Nf6 5. e5 Ne4 6. Nxe4 Bxe4 7. Bd3 Bxd3 8. Qxd3 g6 9. d5 Bg7 10. dxe6 fxe6 11. Bg5 Qc8 12. Bf6 O-O 13. Bxg7 Kxg7 14. Ng5 Qd8 15. Qe4 Nc6 16. Qh4 h6 17. Nf3 Qxh4 18. Nxh4 Nxe5 19. O-O-O Rxf2 20. Rhe1 d6 21. Re3 Raf8 22. Ra3 a5 23. Rc3 c5 24. Rxd6 Rf1+ 25. Kd2 g5 26. Rxe6 Rd8+ 27. Ke2 Rdd1 28. Nf5+ Kf7 29. Re7+ Kf6 30. Rf3 Nxf3 31. gxf3 Kxf5 32. Rf7+ Kg6 33. Rb7 Rde1+ 34. Kd2 Re6 35. Kc3 Rxf3+ 36. Kc4 Re2 37. Rxb6+ Kh5 38. c3 Rxh2 39. Rb5 Rf4+ 40. Kxc5 Rf5+ 41. Kc4 Rxb5 42. Kxb5 Rxb2+ 43. Kxa5 Rxa2+ 44. Kb4 Rc2 45. c4 Rc3 46. c5 Rxc5 47. Kxc5 Kg4 48. Kd4 h5 49. Ke3 h4 50. Kf2 Kh3 51. Kg1 g4 52. Kh1 g3 53. Kg1 Kg4 54. Kh1 h3 55. Kg1 Kf3 56. Kh1 g2+ 57. Kg1 h2+ 58. Kxh2 Kf2 59. Kh3 g1=Q 60. Kh4 Kf3 61. Kh5 Kf4 62. Kh4 Qg4# 0-1,,
"Site ""https://lichess.org/Oqgk8wAe""","Event ""Rated Blitz game""",2020.09.06,"White ""jakerman""","Black ""Lovelishkumar""",Black won,2020.09.06,21:36:18,1616,1621,-5,5,Standard,180+2,"ECO ""B01""","Termination ""Normal""",1. e4 d5 2. exd5 Nf6 3. c4 e6 4. dxe6 Bxe6 5. Nf3 Nc6 6. Qa4 Bc5 7. Ne5 Bd7 8. Nxd7 Qxd7 9. Be2 Qe6 10. d3 O-O 11. Qc2 Nd4 12. Qd1 Rfe8 13. Be3 Nxe2 14. Qxe2 Bxe3 15. Qxe3 Qb6 16. Qxe8+ Rxe8+ 17. Kd2 Qxb2+ 0-1,,
"Site ""https://lichess.org/XsaLSpzG""","Event ""Rated Blitz game""",2020.09.06,"White ""vickythedon""","Black ""Lovelishkumar""",White won,2020.09.06,21:29:58,1619,1626,6,-5,Standard,180+2,"ECO ""B01""","Termination ""Normal""",1. e4 d5 2. exd5 Nf6 3. Nc3 Nxd5 4. Bc4 Be6 5. Bb5+ c6 6. Ba4 Nd7 7. Nf3 Nc5 8. Nxd5 Bxd5 9. Bb3 Nxb3 10. axb3 e6 11. d3 c5 12. c4 Bc6 13. O-O Be7 14. Ne5 Bd7 15. Qg4 Bf6 16. f4 h5 17. Qg3 Bh4 18. Qxg7 Rf8 19. Be3 Bf6 20. Qh7 Qc7 21. d4 cxd4 22. Bxd4 Rh8 23. Qxf7+ Kd8 24. Qxf6+ Kc8 25. Qxh8+ Qd8 26. Qxd8+ Kxd8 27. Rxa7 Rxa7 28. Bxa7 Bc6 29. Nxc6+ bxc6 30. Rd1+ 1-0,,
"Site ""https://lichess.org/faO9p2AL""","Event ""Rated Blitz game""",2020.09.06,"White ""Lovelishkumar""","Black ""SocialMedia""",White won,2020.09.06,16:59:31,1621,1617,5,-6,Standard,180+2,"ECO ""C40""","Termination ""Time forfeit""",1. e4 e5 2. Nf3 Qf6 3. d4 exd4 4. Nxd4 d6 5. c4 h6 6. Nc3 c6 7. b4 a6 8. a4 Ne7 9. b5 Bd7 10. Be2 Qg6 11. O-O Bh3 12. Bf3 f5 13. Kh1 Bg4 14. h3 Bxf3 15. Qxf3 fxe4 16. Nxe4 Nd7 17. Ba3 c5 18. Ne2 Rb8 19. Nf4 Qf7 20. Nxd6+ 1-0,,
"Site ""https://lichess.org/Vc6QTXJS""","Event ""Rated Blitz game""",2020.09.06,"White ""Lovelishkumar""","Black ""AlbertoCan28""",Black won,2020.09.06,16:47:01,1626,1666,-5,5,Standard,180+2,"ECO ""B32""","Termination ""Time forfeit""",1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5 5. Nf3 d6 6. Nc3 Nf6 7. Nd5 h6 8. Bd3 Be6 9. c4 Ne7 10. b3 Nexd5 11. cxd5 Bg4 12. h3 Bh5 13. Bb5+ Ke7 14. O-O a6 15. Be2 Ke8 16. Qd3 Bg6 17. Nd2 b5 18. a4 Be7 19. axb5 a5 20. Bb2 Qb6 21. Kh1 Kd7 22. f4 exf4 23. Rxf4 Rhc8 24. Bxf6 Bxf6 25. Rb1 Be5 26. Rff1 Bf6 27. Bg4+ Ke7 28. Bxc8 Rxc8 29. Rbc1 Rb8 30. Nc4 Qxb5 31. Ne3 Qxb3 32. Qxb3 Rxb3 33. Nf5+ Bxf5 34. Rxf5 a4 35. Rc2 a3 36. Rff2 Bb2 37. Rc7+ Kd8 38. Ra7 Bf6 39. Ra2 Bb2 40. Rxf7 Re3 41. Kh2 Rxe4 42. Rf2 Rb4 43. Rd2 Ke7 44. Kg3 Kf6 45. Kf3 Rb3+ 46. Kg4 g6 47. Rf2+ Ke5 48. Rd2 Bc1 49. Rd1 Bb2 50. h4 Re3 51. g3 Rc3 52. Kh3 Rf3 53. Kg2 Re3 54. g4 Rb3 55. Rd2 Ke4 56. Kf2 Kf4 57. h5 g5 58. Kg2 Kxg4 59. Rf2 Kxh5 60. Rf6 Rd3 61. Rxd6 g4 62. Rd8 Kg5 63. d6 h5 64. d7 Kh4 65. Kf2 Rd5 66. Ke3 g3 67. Kf3 Rd3+ 68. Kg2 Rd2+ 69. Kf3 g2 70. Rg8 Rxd7 71. Rxg2 Rf7+ 72. Ke2 Rd7 73. Rh2+ Kg4 74. Ke3 h4 75. Rg2+ Kh3 76. Rg8 Kh2 77. Kf3 Rd3+ 78. Kg4 h3 79. Rh8 Rb3 80. Rg8 Rb4+ 81. Kf3 Rb3+ 82. Kg4 Kh1 83. Kf4 Kh2 84. Ke4 Rg3 0-1,,
"Site ""https://lichess.org/H1a87FIZ""","Event ""Rated Blitz game""",2020.09.06,"White ""GuestDKPE""","Black ""Lovelishkumar""",White won,2020.09.06,16:38:35,1646,1631,6,-5,Standard,180+2,"ECO ""D21""","Termination ""Normal""",1. d4 d5 2. Nf3 c5 3. c4 dxc4 4. Qa4+ Nc6 5. dxc5 e6 6. Qxc4 Qa5+ 7. Nc3 Bxc5 8. Qg4 g6 9. g3 Nf6 10. Qh4 Nd5 11. Bd2 Bb4 12. Ne4 Bxd2+ 13. Nfxd2 Ncb4 14. Rc1 Qxa2 15. Bg2 Qxb2 16. O-O f5 17. Nd6+ Kd7 18. N2c4 b5 19. Nxb2 Kxd6 20. Nd3 Nxd3 21. exd3 Bb7 22. f4 Rad8 23. Bxd5 Bxd5 24. Qf6 Rhf8 25. Qd4 Rb8 26. Qxa7 Rb7 27. Qa6+ Ke7 28. Rc3 Kf6 29. Qa1 Rfb8 30. Rfc1 Kf7 31. Rc7+ Rxc7 32. Rxc7+ Kg8 33. Qg7# 1-0,,
"Site ""https://lichess.org/PbEJplqX""","Event ""Rated Blitz game""",2020.09.06,"White ""vickb2""","Black ""Lovelishkumar""",Black won,2020.09.06,16:33:59,1639,1625,-6,6,Standard,180+2,"ECO ""D00""","Termination ""Normal""",1. e4 d5 2. d4 dxe4 3. f3 exf3 4. Nxf3 e6 5. Bc4 c5 6. c3 Nf6 7. O-O Nc6 8. Bg5 Be7 9. Nbd2 h6 10. dxc5 hxg5 11. Nxg5 Bxc5+ 12. Kh1 Ne5 13. Qc2 Qc7 14. Bb3 Neg4 15. Ndf3 Nxh2 16. Nh3 Nfg4 17. Nd4 Nxf1 18. Rxf1 Qh2# 0-1,,
"Site ""https://lichess.org/yYxorwUb""","Event ""Rated Blitz game""",2020.09.06,"White ""Lovelishkumar""","Black ""Amit202040""",White won,2020.09.06,14:55:22,1619,1615,6,-6,Standard,180+2,"ECO ""C45""","Termination ""Time forfeit""",1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Be3 Bb6 6. c4 Nf6 7. Nc3 O-O 8. a3 Re8 9. f3 Nxd4 10. Bxd4 Bxd4 11. Qxd4 c6 12. b4 Qc7 13. Be2 d5 14. cxd5 cxd5 15. Nxd5 Nxd5 16. exd5 Qd6 17. Rd1 Bf5 18. Kf2 Bg6 19. Bb5 Re7 20. Qc5 Qf6 21. Rhe1 b6 22. Qxe7 Qb2+ 23. Re2 1-0,,
"Site ""https://lichess.org/CovFComA""","Event ""Rated Blitz game""",2020.09.06,"White ""Aaadokwei""","Black ""Lovelishkumar""",Black won,2020.09.06,14:45:22,1660,1613,-7,6,Standard,180+2,"ECO ""A00""","Termination ""Normal""",1. Nc3 d5 2. Nf3 Nc6 3. d4 e5 4. dxe5 Bg4 5. e4 Bxf3 6. gxf3 Nxe5 7. Bg2 dxe4 8. Qxd8+ Rxd8 9. Bf4 Nxf3+ 10. Bxf3 exf3 11. Bxc7 Rd7 12. Bf4 Bb4 13. Bd2 Nf6 14. a3 Ba5 15. O-O-O O-O 16. Rhg1 Rfd8 17. b4 Bb6 18. Be3 Bxe3+ 19. fxe3 f2 20. Rgf1 Ng4 21. Rxd7 Rxd7 22. h3 Nxe3 23. Rxf2 g6 24. Re2 Nd5 25. Ne4 Kg7 26. Nc5 Rc7 27. Re5 Nf4 28. h4 h5 29. Re4 Ng2 30. Kb2 b6 31. Nd3 Kf6 32. Nf4 Nxf4 33. Rxf4+ Kg7 34. c4 f5 35. Kc3 Kf6 36. Rd4 Ke5 37. Rd5+ Kf4 38. Rd6 Rg7 39. Rd4+ Kg3 40. c5 f4 41. a4 f3 42. a5 bxc5 43. bxc5 f2 44. Rd1 Kg2 45. Kb4 f1=Q 46. Rxf1 Kxf1 47. Kb5 g5 48. hxg5 h4 49. c6 h3 50. Ka6 h2 51. c7 Rxc7 52. Kb5 h1=Q 53. a6 Qc6+ 54. Ka5 Qb6+ 55. Ka4 Rc4+ 56. Ka3 Qb4+ 57. Ka2 Rc2+ 58. Ka1 Qb2# 0-1,,
"Site ""https://lichess.org/1xbcCs37""","Event ""Rated Blitz game""",2020.09.06,"White ""Lovelishkumar""","Black ""Hamaida2020""",Black won,2020.09.06,14:38:20,1619,1565,-6,6,Standard,180+2,"ECO ""C02""","Termination ""Time forfeit""",1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6 5. Nf3 a6 6. Bg5 Be7 7. h4 h6 8. Be3 c4 9. Nbd2 f6 10. b3 b5 11. bxc4 bxc4 12. Qa4 Qc7 13. Rb1 Bd7 14. exf6 Bxf6 15. Qc2 Nge7 16. Be2 O-O 17. O-O Nf5 18. Ne5 Nxe5 19. Bf4 Nxh4 20. dxe5 Bxe5 21. Bxe5 Qxe5 22. Nf3 Nxf3+ 23. Bxf3 Qg5 24. Qe2 Rfe8 25. Rfe1 Qf6 26. Rb7 Bb5 27. Qe3 Bc6 28. Rb6 d4 0-1,,
"Site ""https://lichess.org/rgM4O6v6""","Event ""Rated Blitz game""",2020.09.06,"White ""Lovelishkumar""","Black ""MaMo228""",White won,2020.09.06,14:34:58,1612,1709,7,-7,Standard,180+2,"ECO ""B01""","Termination ""Normal""",1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d3 c6 5. f4 Nf6 6. Nf3 Bg4 7. h3 Bxf3 8. Qxf3 Nd5 9. Bd2 Qd8 10. Nxd5 Qxd5 11. Qxd5 cxd5 12. g4 Nc6 13. O-O-O g6 14. Bg2 e6 15. f5 Bg7 16. Rde1 e5 17. Bxd5 f6 18. c3 Kd7 19. d4 exd4 20. Bxc6+ Kxc6 21. cxd4 Rad8 22. Bc3 b5 23. Re6+ Kb7 24. Re7+ 1-0,,
"Site ""https://lichess.org/IiW2XmzC""","Event ""Rated Blitz game""",2020.09.06,"White ""Kovtun_den""","Black ""Lovelishkumar""",Black won,2020.09.06,14:27:21,1575,1607,-6,5,Standard,180+2,"ECO ""B01""","Termination ""Normal""",1. e4 d5 2. exd5 Nf6 3. Bc4 Nxd5 4. Bxd5 Qxd5 5. Nc3 Qxg2 6. Qf3 Qg6 7. d3 Nc6 8. Be3 Bg4 9. Qg3 h5 10. h3 Bf5 11. Qxg6 Bxg6 12. O-O-O O-O-O 13. Nf3 e5 14. Ng5 Be7 15. Nge4 f5 16. Nd2 f4 17. Bxa7 Nxa7 18. Nde4 Nc6 19. Rhg1 Bxe4 20. Nxe4 Bf6 21. Rg6 Rhf8 22. f3 Nd4 23. Nxf6 gxf6 24. Rf1 Ne2+ 25. Kd2 Ng3 26. Re1 Kd7 27. c3 Rf7 28. c4 c5 29. Kc3 Ke6 30. a3 h4 31. b4 b6 32. a4 Ra8 33. Ra1 Ne2+ 34. Kd2 Nd4 35. bxc5 Nxf3+ 36. Kc3 bxc5 37. a5 Rfa7 38. Rg2 Rxa5 39. Rxa5 Rxa5 40. Rg4 Ra3+ 41. Kc2 Nd4+ 42. Kd2 Nf3+ 43. Ke2 Nd4+ 44. Kd2 Nf5 45. Rg8 Ne3 46. Rg4 Nxg4 47. hxg4 f5 0-1,,
"Site ""https://lichess.org/joIhgcy5""","Event ""Rated Blitz game""",2020.09.06,"White ""qiu213""","Black ""Lovelishkumar""",Black won,2020.09.06,14:19:09,1524,1602,-5,5,Standard,180+2,"ECO ""B01""","Termination ""Time forfeit""",1. e4 d5 2. exd5 Nf6 3. Nc3 Nxd5 4. Nxd5 Qxd5 5. b3 c5 6. f3 Nc6 7. Bc4 Qe5+ 8. Ne2 Qxa1 9. Nc3 g6 10. O-O Bg7 11. Qe2 Bxc3 12. dxc3 Qxc3 13. Re1 O-O 14. Bh6 Re8 15. f4 Nd4 16. Qe5 Nf3+ 17. gxf3 Qxe5 18. Rxe5 b6 19. h4 Bf5 20. h5 Bxc2 21. hxg6 hxg6 22. Bg5 e6 23. Re2 Bd1 24. Rd2 Bxf3 25. Rd7 Bc6 26. Rc7 Rec8 27. Re7 Bd5 28. Bxd5 exd5 29. Rd7 d4 30. Bf6 a5 31. Rb7 Rcb8 32. Rxb8+ Rxb8 33. Be5 Ra8 34. Bc7 b5 0-1,,
"Site ""https://lichess.org/PZIWOoVg""","Event ""Rated Blitz game""",2020.09.05,"White ""vlarios0522""","Black ""Lovelishkumar""",Black won,2020.09.05,22:59:07,1588,1597,-5,5,Standard,180+2,"ECO ""B01""","Termination ""Normal""",1. e4 d5 2. exd5 Nf6 3. Nc3 Nxd5 4. Nf3 c5 5. d3 Nc6 6. Bd2 e5 7. a3 Be7 8. Be2 O-O 9. O-O h6 10. Nxd5 Qxd5 11. c4 Qd6 12. Bc3 Nd4 13. Re1 Nxe2+ 14. Rxe2 f6 15. Qd2 Bf5 16. Rae1 Qxd3 17. Qc1 Qxc4 18. Nd2 Qd5 19. h3 Rad8 20. Nf3 Bxh3 21. gxh3 Qxf3 22. Re3 Qh5 23. Rg3 Bd6 24. Ree3 e4 25. Rg2 f5 26. Rf3 Rf7 27. Re3 f4 28. Re2 Qxh3 29. Rxe4 f3 30. Reg4 fxg2 31. Rxg2 Rdd7 0-1,,
"Site ""https://lichess.org/fpagl79Q""","Event ""Rated Blitz game""",2020.09.05,"White ""Lovelishkumar""","Black ""vlarios0522""",White won,2020.09.05,22:51:24,1591,1594,6,-6,Standard,180+2,"ECO ""B46""","Termination ""Normal""",1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e6 5. Nc3 a6 6. Be3 Qc7 7. Na4 b5 8. Nxc6 dxc6 9. Nb6 Rb8 10. Nxc8 Rxc8 11. Be2 Rd8 12. Qc1 Nf6 13. Bf3 Bb4+ 14. c3 Ba5 15. b4 Bb6 16. a4 Bxe3 17. Qxe3 O-O 18. O-O Rd7 19. h3 Rfd8 20. Rfc1 Rd3 21. Qe1 h6 22. c4 Qe7 23. e5 Nh7 24. Bxc6 Ng5 25. cxb5 axb5 26. Bxb5 Nxh3+ 27. gxh3 Qg5+ 28. Kf1 Rxh3 29. Bc6 Rc8 30. Bg2 Rh2 31. Rxc8+ Kh7 32. Qe4+ g6 33. Rf8 Kg7 34. Rc8 Rh4 35. Qf3 Qxe5 36. Qc3 Qxc3 37. Rxc3 Rxb4 38. a5 Rb8 39. a6 Ra8 40. Bxa8 1-0,,
"Site ""https://lichess.org/44QvJNZu""","Event ""Rated Blitz game""",2020.09.05,"White ""Lovelishkumar""","Black ""Steggen""",Black won,2020.09.05,22:45:26,1597,1572,-6,6,Standard,180+2,"ECO ""C45""","Termination ""Normal""",1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nxd4 5. Qxd4 d6 6. c4 Ne7 7. Bg5 Be6 8. Nc3 c5 9. Qd1 Qd7 10. Be2 h6 11. Bh4 Ng6 12. Bg3 Be7 13. O-O O-O 14. Nd5 Bxd5 15. exd5 b6 16. a4 Bf6 17. Bg4 Qc7 18. Qc2 Be5 19. a5 bxa5 20. Ra3 Rab8 21. Bxe5 Nxe5 22. Bh5 Qe7 23. Rxa5 Qg5 24. Be2 Ra8 25. Rfa1 f5 26. Rxa7 Rxa7 27. Rxa7 f4 28. Qc3 f3 29. h4 Qxg2# 0-1,,
"Site ""https://lichess.org/CnjTKQUn""","Event ""Rated Blitz game""",2020.09.05,"White ""Lovelishkumar""","Black ""fangulo1977""",White won,2020.09.05,22:39:33,1591,1588,6,-6,Standard,180+2,"ECO ""C00""","Termination ""Normal""",1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. d4 Bg4 5. h3 Bh5 6. g4 Bg6 7. Bd3 Nc6 8. Nc3 Nf6 9. Ne5 Nxd4 10. Nxg6 hxg6 11. Bg5 Be7 12. Bxg6 fxg6 13. Qxd4 Nxg4 14. Bxe7 Qxe7+ 15. Ne2 O-O 16. Qxg4 Rae8 17. O-O Qxe2 18. Qxe2 Rxe2 19. Rac1 c5 20. b3 b5 21. a3 a5 22. c3 b4 23. c4 dxc4 24. Rxc4 bxa3 25. Rxc5 Rfxf2 26. Rxf2 Rb2 27. Rxa5 Rxb3 28. Kg2 1-0,,
"Site ""https://lichess.org/yDwkX5yG""","Event ""Rated Blitz game""",2020.09.05,"White ""broschbalazs""","Black ""Lovelishkumar""",White won,2020.09.05,22:33:29,1571,1597,7,-6,Standard,180+2,"ECO ""A00""","Termination ""Normal""",1. d3 d5 2. Bf4 c5 3. e4 dxe4 4. dxe4 Qxd1+ 5. Kxd1 Nc6 6. Bc4 Nf6 7. Nc3 e6 8. Nf3 a6 9. a4 Na5 10. Bd3 c4 11. Be2 Bb4 12. Bc7 Bxc3 13. bxc3 Nxe4 14. Bxa5 Nxf2+ 15. Kd2 Nxh1 16. Rxh1 O-O 17. Bxc4 Rd8+ 18. Ke3 b5 19. Bd3 Rd5 20. c4 bxc4 21. Be4 Rxa5 22. Bxa8 Rxa4 23. Rd1 Ra3+ 24. Kf4 g5+ 25. Kxg5 Kg7 26. h4 h6+ 27. Kg4 f5+ 28. Kf4 Ra4 29. c3 a5 30. Bc6 Ra3 31. Rc1 Rb3 32. g4 Kf6 33. g5+ hxg5+ 34. hxg5+ Kf7 35. Ne5+ Ke7 36. g6 Kf6 37. Nxc4 Kxg6 38. Nxa5 Rb5 39. Bxb5 1-0,,
"Site ""https://lichess.org/KZpDMf8b""","Event ""Rated Blitz game""",2020.09.05,"White ""arturo6304""","Black ""Lovelishkumar""",Black won,2020.09.05,22:25:14,1647,1591,-6,6,Standard,180+2,"ECO ""D00""","Termination ""Time forfeit""",1. d4 d5 2. Bf4 c5 3. e3 e6 4. c3 Nc6 5. Bb5 a6 6. Bxc6+ bxc6 7. Nd2 cxd4 8. exd4 c5 9. Ngf3 Nf6 10. Ne5 Bd6 11. Qf3 cxd4 12. cxd4 Bb7 13. O-O Qb6 14. Qb3 Qxb3 15. Nxb3 Nh5 16. Nxf7 Bxf4 17. Nxh8 Ke7 18. g3 Bd6 19. Ng6+ hxg6 20. Na5 Rb8 21. Nxb7 Rxb7 22. b3 Nf6 23. f3 g5 24. Rfe1 Bb4 25. Re2 Bc3 26. Rd1 Rb4 27. Rd3 Bxd4+ 28. Kg2 Bb6 29. Re5 Nh7 30. Rd1 Kf6 31. Rde1 Nf8 32. f4 gxf4 33. gxf4 Rxf4 34. R5e2 Ba5 35. Rc1 e5 36. Rc6+ Kf5 37. Rc8 Ne6 38. Re8 Bc3 0-1,,
"Site ""https://lichess.org/rK6eqYln""","Event ""Rated Blitz game""",2020.09.05,"White ""Lovelishkumar""","Black ""selMaNCes""",Black won,2020.09.05,22:18:09,1597,1565,-6,7,Standard,180+2,"ECO ""B01""","Termination ""Normal""",1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 Bg4 5. h3 Bxf3 6. Qxf3 e6 7. Nc3 Bb4 8. Bd2 O-O 9. a3 Nxc3 10. Bxc3 Bd6 11. Bd3 Nd7 12. O-O c6 13. Rfe1 Nf6 14. Bd2 Nd5 15. c4 Nf6 16. Bg5 Be7 17. Qe3 b5 18. Bxf6 Bxf6 19. Qe4 g6 20. Qxc6 Bxd4 21. Rad1 Qf6 22. b3 Qxf2+ 23. Kh1 Qg3 24. Qxb5 Rab8 25. Qa4 Be5 26. b4 Qh2# 0-1,,
"Site ""https://lichess.org/iZY74rv3""","Event ""Rated Blitz game""",2020.09.05,"White ""anasraed""","Black ""Lovelishkumar""",Black won,2020.09.05,01:38:59,1577,1591,-5,6,Standard,180+0,"ECO ""A00""","Termination ""Normal""",1. g3 d5 2. Bg2 e5 3. e3 c5 4. Ne2 Nf6 5. O-O Nc6 6. d4 e4 7. a3 Be6 8. Bd2 Qd7 9. b4 cxd4 10. Nxd4 Nxd4 11. exd4 Bh3 12. Nc3 Bxg2 13. Kxg2 a5 14. Bg5 Be7 15. b5 a4 16. Rb1 b6 17. Qc1 h6 18. Bh4 g5 19. Bxg5 hxg5 20. Qxg5 Qh3+ 0-1,,
"Site ""https://lichess.org/rIxgRvr4""","Event ""Rated Blitz game""",2020.09.05,"White ""secant""","Black ""Lovelishkumar""",White won,2020.09.05,01:35:27,1595,1597,6,-6,Standard,180+0,"ECO ""D32""","Termination ""Normal""",1. d4 d5 2. c4 e6 3. Nc3 c5 4. Nf3 Nc6 5. cxd5 exd5 6. e3 cxd4 7. exd4 Nf6 8. Bg5 Be7 9. Bd3 h6 10. Bh4 Bg4 11. O-O Bxf3 12. Qxf3 Nxd4 13. Qf4 Ne4 14. Bxe7 Qxe7 15. Nxd5 Ne6 16. Qxe4 Qd6 17. Qa4+ Kf8 18. Qe4 Rd8 19. Bc4 Ng5 20. Qf5 Qc5 21. Ne3 Qxf5 22. Nxf5 Rc8 1-0,,
"Site ""https://lichess.org/XYzUTB0V""","Event ""Rated Blitz game""",2020.09.05,"White ""Lovelishkumar""","Black ""Zainnnnn""",Black won,2020.09.05,01:32:34,1604,1525,-7,7,Standard,180+0,"ECO ""C25""","Termination ""Normal""",1. e4 e5 2. Nc3 Bc5 3. Nf3 Nc6 4. Bb5 d6 5. d4 exd4 6. Nxd4 a6 7. Nxc6 bxc6 8. Bxc6+ Bd7 9. Bxa8 Qxa8 10. O-O Bc6 11. Bd2 Nf6 12. Qf3 Nxe4 13. Rfe1 f5 14. Qxf5 Rf8 15. Rxe4+ Bxe4 16. Qxe4+ Qxe4 17. Nxe4 Bb6 18. Be3 Kd7 19. Bxb6 cxb6 20. Rd1 Rc8 21. Rxd6+ Ke7 22. Rxb6 Rxc2 23. Rxa6 Rc1# 0-1,,
"Site ""https://lichess.org/bimP7OLj""","Event ""Rated Blitz game""",2020.09.05,"White ""LuisEsteban""","Black ""Lovelishkumar""",White won,2020.09.05,01:30:21,1582,1610,6,-6,Standard,180+0,"ECO ""B01""","Termination ""Normal""",1. e4 d5 2. exd5 Nf6 3. Nc3 Nxd5 4. Nxd5 Qxd5 5. Nf3 Bg4 6. h3 Bh5 7. Be2 Nc6 8. d3 e5 9. O-O Bd6 10. c4 Qe6 11. b3 Bxf3 12. Bxf3 g5 13. Bxg5 Rg8 14. Bh4 f5 15. Bd5 Qh6 16. Bxg8 Qxh4 17. Bd5 Kd7 18. Qf3 Rg8 19. Qxf5+ 1-0,,
"Site ""https://lichess.org/4oaKRRUT""","Event ""Rated Blitz game""",2020.09.05,"White ""Nell17""","Black ""Lovelishkumar""",White won,2020.09.05,01:29:08,1646,1615,5,-5,Standard,180+0,"ECO ""B01""","Termination ""Normal""",1. e4 d5 2. exd5 Nf6 3. Bc4 Nbd7 4. g4 Nb6 5. Bb3 Nbxd5 6. g5 Ne4 7. Qf3 Nxg5 8. Qxd5 Qxd5 9. Bxd5 e6 10. Bb3 Nf3+ 11. Nxf3 1-0,,
